company,code,type,year,date,pdf,title
东风汽车,600006,年报,2023,2023-04-11,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2023-04-11/600006_20230411_KH8F.pdf,东风汽车股份有限公司2022年年度报告
东风汽车,600006,年报,2024,2024-04-13,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2024-04-13/600006_20240413_5A03.pdf,东风汽车股份有限公司2023年年度报告全文
东风汽车,600006,年报摘要,2024,2024-04-13,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2024-04-13/600006_20240413_CZMG.pdf,东风汽车股份有限公司2023年年度报告摘要
中国国贸,600007,年报,2015,2016-03-24,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/2016-03-24/600007_2015_n.pdf,中国国贸年报
中国国贸,600007,年报摘要,2015,2016-03-24,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/2016-03-24/600007_2015_nzy.pdf,中国国贸年报摘要
中国国贸,600007,年报,2016,2017-03-23,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/2017-03-23/600007_2016_n.pdf,中国国贸2016年年度报告
中国国贸,600007,年报摘要,2016,2017-03-23,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/2017-03-23/600007_2016_nzy.pdf,中国国贸2016年年度报告摘要
中国国贸,600007,年报,2017,2018-03-24,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/2018-03-24/600007_2017_n.pdf,中国国贸2017年年度报告
中国国贸,600007,年报摘要,2017,2018-03-24,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/2018-03-24/600007_2017_nzy.pdf,中国国贸2017年年度报告摘要
中国国贸,600007,年报,2018,2019-03-30,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/2019-03-30/600007_2018_n.pdf,中国国贸2018年年度报告
中国国贸,600007,年报摘要,2018,2019-03-30,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/2019-03-30/600007_2018_nzy.pdf,中国国贸2018年年度报告摘要
中国国贸,600007,年报摘要,2019,2020-04-28,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/2020-04-28/600007_20200428_1.pdf,中国国贸2019年年度报告摘要
中国国贸,600007,年报,2019,2020-04-28,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/2020-04-28/600007_20200428_2.pdf,中国国贸2019年年度报告
中国国贸,600007,年报摘要,2021,2021-03-25,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2021-03-25/600007_20210325_1.pdf,中国国贸2020年年度报告摘要
中国国贸,600007,年报,2021,2021-03-25,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2021-03-25/600007_20210325_2.pdf,中国国贸2020年年度报告全文
中国国贸,600007,年报摘要,2022,2022-03-31,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2022-03-31/600007_20220331_4_2MvmY5f0.pdf,中国国贸2021年年度报告摘要
中国国贸,600007,年报,2022,2022-03-31,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2022-03-31/600007_20220331_5_DhEhQxEr.pdf,中国国贸2021年年度报告全文
中国国贸,600007,年报,2023,2023-03-29,http://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2023-03-29/600007_20230329_0QQA.pdf,中国国贸2022年年度报告
